File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Fixed annuity
Reference day;30/11/2024
Identifier;Description;Payment anchor date;Payment period;Current payment;Principal payments rate;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Indexed rate;Comision cancelacion RI3;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;Código de producto;Código de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;Código DRC;Clave ISIN cobertura;Código clasificación activo;Descripción tamaño empresa;Consolidado reservado;Consolidado público;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona física/jurídica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;Código DRC contable;Código tamaño empresa;Cód. segmento estratégico;Des. segmento estratégico;Edad;Segmento estratégico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
1000000_210370140500054815;;27/12/2024;1M;;;;27/11/2024;27/04/2028;Yes;Long;10161,79;10161,79;27/04/2020;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;10161,79;;;;;;;;;;;;;No;;2,25;1;0;UG;PERSONALES FINANCIACION EMPRESAS;Banca Comercial;FIX;EUR;051;337;113141;A;04.02.05.04.00 Prestamos personales;33552200000;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;;J;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.1.1 Inversión crediticia;;
1000019_210372680500025100;;07/12/2024;1M;;;;07/11/2024;07/02/2050;Yes;Long;92179,35;92179,35;07/02/2020;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;92179,35;;;;;;;;;;;;;No;;2,65;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152040000;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;44;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000021_210348230506703082;;25/12/2024;1M;;;;25/11/2024;25/07/2038;Yes;Long;77367,62;77367,62;25/08/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;77367,62;;;;;;;;;;;;;No;;2,4;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F06;Adultos 2B;50;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000037_210371170500046322;;17/12/2024;1M;;;;17/11/2024;17/10/2030;Yes;Long;3464,27;3464,27;17/10/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3464,27;;;;;;;;;;;;;No;;9,950000000000001;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;155;111111;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;61;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000044_210372580500044822;;16/12/2024;1M;;;;16/11/2024;16/02/2052;Yes;Long;185942,63;185942,63;16/02/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;185942,63;;;;;;;;;;;;;No;;1;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;41;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000046_210372000500026761;;10/12/2024;1M;;;;10/11/2024;10/12/2025;Yes;Long;1493,75;1493,75;03/12/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1493,75;;;;;;;;;;;;;No;;6,950000000000001;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;147;111047;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F05;Adultos 2A;43;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000058_210342020500112253;;27/12/2024;1M;;;;27/11/2024;27/02/2054;Yes;Long;114241,62;114241,62;27/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;114241,62;;;;;;;;;;;;;No;;3,1;0,5;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;478;112160;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F02;Jóvenes;26;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000067_210372210500038986;;26/12/2024;1M;;;;26/11/2024;26/09/2049;Yes;Long;157100,99;157100,99;26/09/2019;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;157100,99;;;;;;;;;;;;;No;;2,25;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;38;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000069_210372910500078759;;23/12/2024;1M;;;;23/11/2024;23/06/2044;Yes;Long;137092,45;137092,45;23/09/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;137092,45;;;;;;;;;;;;;No;;1,7500000000000002;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;438;112058;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;34;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000148_210370330500058998;;25/12/2024;1M;;;;25/11/2024;25/05/2029;Yes;Long;21051,37;21051,37;20/05/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;21051,37;;;;;;;;;;;;;No;;4;1;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;001;111000;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;67;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
