File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Included
Contract type;Variable annuity
Reference day;30/11/2024
;Identifier;Description;Payment anchor date;Payment period;Current payment;Principal payments rate;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Last adjusted rate;Teaser spread;Teaser period end;Indexed curve;Indexed term;Interest rate floor;Interest rate cap;Reset anchor date;Reset period;Indexed rate scaling;Reset lag;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
contract;1000016_210306640500003782;;29/12/2024;1M;;;;29/11/2024;28/02/2027;Yes;Long;5790,58;5790,58;29/02/2012;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5790,58;;;;;;;;;;;;;No;;4,409;0,8;01/03/2025;EURIBOR_SWAP;12M;0;;01/03/2025;12M;;2M;0,8;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;02010100;;F07;Adultos 3;43;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000082_210372700500009650;;05/12/2024;1M;;;;05/11/2024;05/11/2026;Yes;Long;1752,37;1752,37;30/10/2006;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1752,37;;;;;;;;;;;;;No;;4,279;0,6;06/02/2025;EURIBOR_SWAP;12M;0;;06/02/2025;12M;;2M;0,6;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;02010100;;F09;Seniors 2;69;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000108_210301840500014945;;08/12/2024;1M;;;;08/11/2024;08/07/2027;Yes;Long;30965,84;30965,84;08/03/2015;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;30965,84;;;;;;;;;;;;;No;;2,25;0,25;09/03/2025;EURIBOR_SWAP;12M;0,5;2,25;09/03/2025;12M;;;0,25;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;608;112007;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;02010200;;F09;Seniors 2;69;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
contract;1000120_210350110500069035;;21/12/2024;1M;;;;21/11/2024;21/07/2044;Yes;Long;31515,29;31515,29;21/04/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;31515,29;;;;;;;;;;;;;No;;4,166;1;22/10/2025;EURIBOR_SWAP;12M;0;;22/10/2025;12M;;2M;1;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-10;Sensible;02010100;;F07;Adultos 3;39;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000160_210321430506438522;;05/12/2024;1M;;;;05/11/2024;05/06/2052;Yes;Long;97579,47;97579,47;05/06/2012;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;97579,47;;;;;;;;;;;;;No;;4,703;1;06/06/2025;EURIBOR_SWAP;12M;0;;06/06/2025;12M;;2M;1;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;412;112024;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-06;Sensible;02010100;;F05;Adultos 2A;42;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000169_210372250500031658;;24/02/2025;3M;;;;24/11/2024;24/11/2033;Yes;Long;37447,65;37447,65;24/11/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;37447,65;;;;;;;;;;;;;No;;3,7859999999999996;0;25/02/2025;FO2;12M;0;;25/02/2025;12M;;;0;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;051;984;112027;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.4;Original;EUR;Activo general;2025-02;Sensible;02010100;;F07;Adultos 3;44;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000195_210371510500055522;;14/12/2024;1M;;;;14/11/2024;14/02/2038;Yes;Long;36234,81;36234,81;14/02/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;36234,81;;;;;;;;;;;;;No;;4,429;0,75;15/02/2025;EURIBOR_SWAP;12M;0;;15/02/2025;12M;;2M;0,75;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;02010100;;F06;Adultos 2B;57;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000204_210308670500016851;;03/12/2024;1M;;;;03/11/2024;03/07/2047;Yes;Long;72316,26;72316,26;03/07/2017;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;72316,26;;;;;;;;;;;;;No;;4,83;1,15;04/07/2025;EURIBOR_SWAP;12M;0;;04/07/2025;12M;;2M;1,15;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-07;Sensible;02010100;;F06;Adultos 2B;48;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000222_210370260500123266;;29/12/2024;1M;;;;29/11/2024;29/05/2048;Yes;Long;80943,22;80943,22;29/05/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;80943,22;;;;;;;;;;;;;No;;4,417999999999999;0,7000000000000001;30/05/2025;EURIBOR_SWAP;12M;0;;30/05/2025;12M;;2M;0,7000000000000001;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-05;Sensible;02010100;;F03;Adultos 1A;40;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000229_210328350505027788;;16/12/2024;1M;;;;16/11/2024;16/05/2043;Yes;Long;99794,08;99794,08;16/05/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;99794,08;;;;;;;;;;;;;No;;4,201;0,5;17/05/2025;EURIBOR_SWAP;12M;0;;17/05/2025;12M;;;0,5;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;476;112004;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-05;Sensible;02010100;;F07;Adultos 3;46;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
