File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Fixed linear
Reference day;30/11/2024
Identifier;Description;Interest anchor date;Interest payment period;Principal anchor date;Principal payment period;Principal payment amount;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Indexed rate;Comision cancelacion RI3;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
1001968_210371460530001602;;20/01/2025;3M;20/01/2025;3M;;;20/10/2024;20/04/2026;Yes;Long;48210,92;48210,92;20/04/2021;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;48210,92;;;;;;;;;;;;;No;;0,213;0;0;UG;OTROS PRESTAMOS SECTOR PUBLICO;Banca Comercial;FIX;EUR;053;201;111101;A;04.01.03.00.00 Administraciones Locales;33551110006;03000000;;00;GRANDE;;;;;090;;;J;;N;N;A.2.2;Original;EUR;Prestamo fijo mayorista;;Sensible;;04;J06;Organismos P�blicos;;SECTOR_PUBLICO;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.2.1 Inversi�n crediticia;;
1002412_210371570500056080;;10/12/2024;1M;10/12/2024;1M;;;10/11/2024;10/05/2026;Yes;Long;2358,37;2358,37;10/05/2016;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2358,37;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;001;111000;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;73;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1005351_210346100510107558;;20/02/2025;12M;20/02/2025;12M;;;20/02/2024;20/02/2025;Yes;Long;6000;6000;20/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;6000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;333;114135;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F06;Adultos 2B;50;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1007651_210342140510000477;;24/02/2025;6M;24/02/2025;6M;;;24/08/2024;24/02/2025;Yes;Long;4000;4000;24/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F03;Adultos 1A;40;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008526_210383550500877931;;08/12/2024;1M;08/12/2024;1M;;;08/11/2024;08/11/2025;Yes;Long;2579,48;2579,48;08/11/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2579,48;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;35;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008751_210373950530000549;;25/06/2025;12M;25/06/2025;12M;;;25/06/2024;25/06/2030;Yes;Long;65000000;65000000;25/06/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;65000000;;;;;;;;;;;;;No;;0,27599999999999997;0;0;UG;OTROS PRESTAMOS SECTOR PUBLICO;Banca Empresas;FIX;EUR;053;201;111101;A;04.01.02.00.00 Administraciones Autonomicas;33651100000;03000000;;00;GRANDE;;;;;090;;;J;;N;N;A.2.2;Original;EUR;Prestamo fijo mayorista;;Sensible;;04;J06;Organismos P�blicos;;SECTOR_PUBLICO;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.2.1 Inversi�n crediticia;;
1008770_210353470500054951;;23/01/2025;6M;23/01/2025;6M;;;23/07/2024;23/01/2039;Yes;Long;237600;237600;23/05/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;237600;;;;;;;;;;;;;No;;4,5;1;0;UG;HIPOTECARIOS AGRICOLAS;Banca Comercial;FIX;EUR;050;274;114213;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030201;;F05;Adultos 2A;29;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1009755_210371520500059304;;13/12/2024;1M;13/12/2024;1M;;;13/11/2024;13/09/2025;Yes;Long;1388,97;1388,97;13/09/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1388,97;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;050;031;114101;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F09;Seniors 2;68;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1010536_210322150510001406;;06/02/2025;6M;06/02/2025;12M;;;06/02/2024;06/02/2025;Yes;Long;5000;5000;06/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F07;Adultos 3;54;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1012195_210383550500885334;;20/12/2024;1M;20/12/2024;1M;;;20/11/2024;20/06/2026;Yes;Long;3198,39;3198,39;20/06/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3198,39;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F04;Adultos 1B;62;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
