File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Variable linear
Reference day;30/11/2024
Identifier;Description;Interest anchor date;Interest payment period;Principal anchor date;Principal payment period;Principal payment amount;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Last adjusted rate;Teaser spread;Teaser period end;Indexed curve;Indexed term;Interest rate floor;Interest rate cap;Reset anchor date;Reset period;Indexed rate scaling;Reset lag;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
1004214_210300034406012118000020090720;;25/01/2025;6M;25/01/2025;6M;;;25/07/2024;25/07/2027;Yes;Short;11290,48;11290,48;23/07/2009;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;11290,48;;;;;;;;;;;;;No;;4,169;;;EURIBOR_SWAP;12M;;;25/07/2027;6M;;;0;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
100433_210323300514159918;;02/04/2025;6M;02/04/2025;6M;;;02/10/2024;02/10/2026;Yes;Long;10000;10000;02/10/2006;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;10000;;;;;;;;;;;;;No;;4,21;0,6;03/04/2025;EURIBOR_SWAP;12M;0;;03/04/2025;12M;;;0,6;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-04;Sensible;02030000;;F03;Adultos 1A;43;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1005773_210371780500027241;;22/05/2025;6M;22/05/2025;12M;;;22/05/2024;22/05/2029;Yes;Long;22000;22000;22/05/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;22000;;;;;;;;;;;;;No;;6,4079999999999995;2,75;23/05/2025;EURIBOR_SWAP;12M;0;;23/05/2025;12M;;2M;2,75;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;050;571;114100;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-05;Sensible;01030202;;F06;Adultos 2B;55;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1006567_210326000515500003;;30/01/2025;3M;30/01/2025;3M;;;30/10/2024;30/01/2034;Yes;Long;72443,53;72443,53;30/01/2009;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;72443,53;;;;;;;;;;;;;No;;4,75;1;31/01/2025;EURIBOR_SWAP;6M;0;;31/01/2025;6M;;;1;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152040000;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;140;J;;N;N;A.2.1.2;Original;EUR;Activo general;2025-01;Sensible;01030201;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
1010444_210300035602083118000020180715;;15/02/2025;6M;15/02/2025;6M;;;15/08/2024;15/08/2033;Yes;Short;59999,96;59999,96;19/07/2018;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;59999,96;;;;;;;;;;;;;No;;3,6249999999999996;;;EURIBOR_SWAP;6M;;;15/08/2033;6M;;;0,25;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1010489_210300035803105106000020231029;;10/05/2025;6M;10/05/2025;6M;;;10/11/2024;10/11/2028;Yes;Short;244760;244760;02/11/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;244760;;;;;;;;;;;;;No;;3,001;;;EURIBOR_SWAP;6M;;;10/11/2028;6M;;;0,17;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1011426_210300034416008118000020100214;;25/02/2025;6M;25/02/2025;6M;;;25/08/2024;25/08/2027;Yes;Short;720,13;720,13;18/02/2010;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;720,13;;;;;;;;;;;;;No;;3,551;;;EURIBOR_SWAP;6M;;;25/08/2027;6M;;;0,15;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1011832_210342340510101060;;14/02/2025;6M;14/02/2025;6M;;;14/08/2024;14/02/2029;Yes;Long;31500;31500;14/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;31500;;;;;;;;;;;;;No;;4,178;0,5;15/02/2025;EURIBOR_SWAP;12M;0;;15/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F02;J�venes;27;JOVENES;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1012757_210322910505048100;;30/12/2024;12M;30/12/2024;12M;;;30/12/2023;30/12/2043;Yes;Long;102857,1;102857,1;08/04/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;102857,1;;;;;;;;;;;;;No;;1,7500000000000002;0;01/01/2025;EURIBOR_SWAP;12M;0;1,7500000000000002;01/01/2025;6M;0,5;2M;0;UG;PERSONALES OTRAS FINALIDADES;Banca Comercial;VAR;EUR;050;605;111999;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;S;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;02030000;;F03;Adultos 1A;44;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
1014596_210300035702187107200020190922;;15/04/2025;6M;15/04/2025;6M;;;15/10/2024;15/10/2025;Yes;Short;12833,3;12833,3;26/09/2019;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;12833,3;;;;;;;;;;;;;No;;3,267;;;EURIBOR_SWAP;6M;;;15/10/2025;6M;;;0,21;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
